gene	log2fc	pval
ENSG00000000003	-0.2722761904761928	0.038344361643637644
ENSG00000000005	-1.6126961904761912	0.0006477523394590969
ENSG00000000419	0.2633390476190449	0.0021899260445546642
ENSG00000000457	-0.040613333333332946	0.5812706545819276
ENSG00000000460	0.4502533333333325	1.8599231185843794e-05
ENSG00000000938	-0.49855999999999945	0.0027753845991669033
ENSG00000000971	0.07746571428571869	0.617125330348525
ENSG00000001036	0.006281904761905821	0.8396332590979239
ENSG00000001084	-0.17796666666666816	0.06274500851683155
ENSG00000001167	0.0685552380952359	0.7003230601226323
ENSG00000001460	0.08343428571428735	0.5385659278972471
ENSG00000001461	-0.1847761904761942	0.1170485925215598
ENSG00000001497	0.005015238095239738	0.946221425653298
ENSG00000001561	0.07051714285714361	0.5126709957459329
ENSG00000001617	0.6297123809523821	0.00034515317527613373
ENSG00000001626	-2.437811428571427	4.8603174867854265e-06
ENSG00000001629	0.2715780952380964	0.00023858397059683704
ENSG00000001630	0.35690095238095587	0.019234644024176857
ENSG00000001631	-0.0133352380952374	0.5704042913872742
ENSG00000002016	-0.17701333333333125	0.036532911143003104
ENSG00000002079	2.528800952380953	2.6582668416938076e-08
ENSG00000002330	0.09359714285714027	0.4825079295325486
ENSG00000002549	0.28847619047619233	0.055816119881357304
ENSG00000002587	1.844859047619046	2.657290302662797e-09
ENSG00000002726	2.701112380952382	7.359727153802003e-07
ENSG00000002745	0.516478095238095	0.0361806167443217
ENSG00000002746	0.8476380952380937	0.0027041949192825026
ENSG00000002822	0.4209876190476187	0.00020107254007724988
ENSG00000002834	0.5102295238095262	4.218217399222298e-07
ENSG00000002919	0.04997523809523585	0.32512382346402724
ENSG00000002933	0.5627885714285732	0.012430475184370966
ENSG00000003056	0.09462000000000081	0.19857647119231292
ENSG00000003096	-1.5617190476190492	1.408067506480868e-09
ENSG00000003137	0.22038476190476075	0.46779404695023075
ENSG00000003147	0.11846285714286076	0.46291112808192114
ENSG00000003249	-0.19979619047619224	0.14210116391322025
ENSG00000003393	0.09373047619047448	0.095588882420363
ENSG00000003400	0.2816028571428557	0.009242971619507321
ENSG00000003402	-0.10749904761904716	0.01923234062475763
ENSG00000003436	0.44655999999999807	0.008038740872470035
ENSG00000003509	-0.05520571428571763	0.3329865575000185
ENSG00000003756	-0.4445514285714296	6.757536016440972e-09
ENSG00000003987	-1.0373838095238108	1.348058298432898e-06
ENSG00000003989	-2.068312380952378	1.759682032020385e-08
ENSG00000004059	-0.05084285714285919	0.46287383541821703
ENSG00000004139	-0.8713295238095231	4.174946786415384e-08
ENSG00000004142	-0.08418761904761674	0.18635100929860904
ENSG00000004399	-0.1292352380952373	0.19858270739393735
ENSG00000004455	0.054045714285713586	0.741907510165978
ENSG00000004468	-0.1965095238095227	0.3827322627456846
ENSG00000004478	0.4584485714285709	0.0015439883019675565
ENSG00000004487	0.13140380952381037	0.16250052416613914
ENSG00000004534	-0.3627152380952392	1.0813026739972676e-05
ENSG00000004660	-1.0106828571428572	1.2139384918457885e-09
ENSG00000004700	0.33257714285714535	0.002846691742152472
ENSG00000004766	0.09232666666666844	0.2547504906723086
ENSG00000004776	-1.2861428571428553	0.0005096817953664643
ENSG00000004777	-0.5144752380952378	0.0015031308200335158
ENSG00000004779	0.3472657142857134	2.6477190044314677e-05
ENSG00000004799	-1.6283466666666655	7.258387859706364e-05
ENSG00000004809	-0.4624514285714283	0.09964227787329041
ENSG00000004838	-0.06449238095238119	0.42286598718423907
ENSG00000004846	-0.5571228571428559	0.002250226568085791
ENSG00000004848	-1.0184114285714285	0.057866296594430884
ENSG00000004864	0.3174666666666681	0.00010945473536220243
ENSG00000004866	-0.21718666666666486	0.08292878678018488
ENSG00000004897	0.2055952380952366	0.010979532863037073
ENSG00000004939	-0.31879333333333193	0.11431220305320834
ENSG00000004948	-0.2768095238095234	0.3593951023623472
ENSG00000004961	0.4982590476190456	2.605170487440738e-07
ENSG00000004975	-0.3228419047619049	4.845110559916718e-05
ENSG00000005001	1.7884600000000015	1.7606810202702216e-08
ENSG00000005007	-0.20612380952380605	0.029081798167972264
ENSG00000005020	0.6839523809523786	3.3190089121042705e-05
ENSG00000005022	-0.10256190476190241	0.22622175893405383
ENSG00000005059	0.2519590476190494	0.0996428659178354
