gene	log2fc	pval
ENSG00000000003	-0.7447865608268565	2.5497972428316618e-08
ENSG00000000419	-0.5469190584068571	1.3712892113787754e-06
ENSG00000000457	-0.4280063902377016	4.4255268456028286e-07
ENSG00000000460	-0.10612627175408917	0.7077179113792387
ENSG00000000938	0.4345640627727967	0.013372396652934123
ENSG00000000971	0.8138926256369388	2.1853834377624033e-12
ENSG00000001036	-0.020115267749417853	0.5122120710764757
ENSG00000001084	-0.4299191376632763	1.0638547903069844e-12
ENSG00000001167	0.01841036410974084	0.709707513789788
ENSG00000001461	0.07726651224028558	0.9378728196119499
ENSG00000001497	-0.002593448168816792	0.6910728430299067
ENSG00000001561	0.32170030135368677	3.4350102364721986e-05
ENSG00000001617	0.9646585717326985	0.016010076879642097
ENSG00000001626	-1.818866499875785	6.614986326918718e-17
ENSG00000001629	0.010390043127085136	0.32915685938847383
ENSG00000001630	-0.5473958140810069	2.3890853464437273e-07
ENSG00000002016	-0.4477235972804703	0.3736263736263737
ENSG00000002330	0.1839043706801604	0.06258050947180249
ENSG00000002549	0.4146038616678709	6.869892612909052e-10
ENSG00000002586	-0.48328606180117717	3.539584707088135e-10
ENSG00000002587	1.044456045175881	1.3673805675325232e-06
ENSG00000002726	0.8156677351561754	6.85073636989826e-09
ENSG00000002746	-0.49784406839729556	0.5208065412399778
ENSG00000002822	0.18918535569853745	7.117433616906725e-07
ENSG00000002834	0.6283625769301651	2.031750107713592e-13
ENSG00000002919	-0.06023099620910344	0.7628455144758917
ENSG00000003056	-0.10393952995093159	0.1211255964047835
ENSG00000003096	-0.5383448886991111	0.15418810250261528
ENSG00000003147	-0.5692011018249374	5.138034301250926e-10
ENSG00000003393	-0.1876474675504447	0.032446325056730035
ENSG00000003400	0.392884853255584	1.0175220139259744e-09
ENSG00000003402	-0.2461639516419929	0.007472655643611235
ENSG00000003436	0.9244809153121345	3.707683663120003e-13
ENSG00000003509	-0.1790391789253576	0.025857158643026432
ENSG00000003756	0.020373109463381667	0.8596236957716981
ENSG00000003987	-0.052185099454824524	0.9090717817818682
ENSG00000003989	-0.5920220232036684	0.0010686517806897634
ENSG00000004059	-0.25972871521417673	0.00022518163747767988
ENSG00000004139	-0.003463009308351417	0.6102242668264857
ENSG00000004142	-0.4092033736534084	9.245218634974503e-08
ENSG00000004399	0.10372875445777296	0.4231079166876959
ENSG00000004455	-0.42141586069810444	1.6870384702631276e-11
ENSG00000004468	0.38695416963088647	0.0010143651209783043
ENSG00000004478	-0.13067412584853955	0.001306413833495326
ENSG00000004487	-0.08592685950374701	0.002400311303335485
ENSG00000004534	-0.11966477390012287	0.0023673961541433694
ENSG00000004660	-0.5833196375350447	9.695030489772836e-10
ENSG00000004700	0.23164840669292985	1.3071103968870308e-05
ENSG00000004766	-0.1521374951672776	0.0006492812942832491
ENSG00000004776	0.07593323438630506	0.28769132651142293
ENSG00000004779	-0.7574239663114106	7.928224899333046e-11
ENSG00000004799	-0.967622799251572	8.832691014765486e-09
ENSG00000004848	0.14124885556734057	0.8073622322086782
ENSG00000004864	-0.007795056678109091	0.7345027378243308
ENSG00000004866	-0.19397812403522963	0.3369362735968441
ENSG00000004897	0.046606187349741646	0.978421340043115
ENSG00000004939	-0.8279658800428926	9.38875790575851e-07
ENSG00000004961	0.029634344862731865	0.5756920098969223
ENSG00000004975	0.31429661864990166	9.572744988615487e-05
ENSG00000005001	0.8015310834807714	0.002328287182609701
ENSG00000005007	0.02920037758219607	0.2765212267728723
ENSG00000005020	0.4817268600936373	0.00044111840490158703
ENSG00000005022	0.15547878083079425	0.2839346212069046
ENSG00000005059	0.24519344047171998	0.09358127967826899
ENSG00000005100	-0.26175275858090075	0.004324807454878099
ENSG00000005108	-0.4541121198372551	8.776231800039922e-06
ENSG00000005156	-0.1427699811176808	0.00017012329456054807
ENSG00000005175	-0.11624310721093778	0.005405886035755181
ENSG00000005187	-1.3079133157878005	3.512326982502653e-12
ENSG00000005194	-0.07431796941173374	0.2516193862037637
ENSG00000005206	0.021986755087361587	0.5314835025931843
ENSG00000005243	0.2483300289000816	0.0004078006480503658
ENSG00000005249	-0.8484402700341036	3.1087061591124088e-18
ENSG00000005302	-0.5032891400939192	5.632695944584856e-05
ENSG00000005339	-0.16066706461947433	0.00011359084008403806
ENSG00000005381	0.538850113579425	0.007229402457557596
ENSG00000005421	0.2649102068890379	0.012756017248409503
