gene,rna_lfc,rna_p,prot_lfc,prot_p,mut_freq,concordant,transcriptomic,proteomic,genomic,score
ENSG00000181143,3.695677142857142,0.0001113380257053,1.1174655978825534,2.2074717876587477e-07,0.0571428571428571,True,3.695677142857142,1.1174655978825534,0.0571428571428571,0.978723404255319
ENSG00000001626,-2.437811428571427,4.8603174867854265e-06,-1.818866499875785,6.614986326918717e-17,0.0285714285714285,True,2.437811428571427,1.818866499875785,0.0285714285714285,0.9781028368794327
ENSG00000060718,2.4173542857142856,1.7791838240254923e-06,1.402464547362488,1.124085050842556e-15,0.0285714285714285,True,2.4173542857142856,1.402464547362488,0.0285714285714285,0.9734929078014184
ENSG00000170835,-6.34810380952381,4.338328754467562e-06,-2.5500158224920177,5.621178504770583e-13,0.019047619047619,True,6.34810380952381,2.5500158224920177,0.019047619047619,0.961968085106383
ENSG00000168702,-1.5612371428571432,1.893687182848988e-05,-1.0599805059736376,0.3757575757575758,0.0857142857142857,True,1.5612371428571432,1.0599805059736376,0.0857142857142857,0.9567375886524823
ENSG00000174672,-3.082678095238096,5.52512373796874e-07,-1.9553734296027196,8.086401182301124e-13,0.019047619047619,True,3.082678095238096,1.9553734296027196,0.019047619047619,0.9562943262411348
ENSG00000115361,-3.025181904761907,2.4266774777168282e-08,-1.982807936209035,2.605939737437246e-15,0.019047619047619,True,3.025181904761907,1.982807936209035,0.019047619047619,0.9562943262411345
ENSG00000089250,-2.2053057142857133,5.412400520805799e-07,-0.9775352786582624,0.0017584777027986,0.0285714285714285,True,2.2053057142857133,0.9775352786582624,0.0285714285714285,0.9550531914893616
ENSG00000158125,2.788458095238094,7.257346623806012e-09,0.8358933211388297,5.864749838449693e-10,0.0285714285714285,True,2.788458095238094,0.8358933211388297,0.0285714285714285,0.9515070921985815
ENSG00000171345,2.6875676190476216,6.035281880528251e-10,1.4329688825111262,7.850937506669517e-20,0.019047619047619,True,2.6875676190476216,1.4329688825111262,0.019047619047619,0.9495567375886524
ENSG00000106236,-1.9189942857142863,6.23930729144831e-08,-0.9440217467606152,7.933895089049691e-10,0.0285714285714285,True,1.9189942857142863,0.9440217467606152,0.0285714285714285,0.9483156028368793
ENSG00000050555,-1.6456885714285718,1.1034712697432064e-06,-0.9801961412341456,5.138034301250926e-10,0.0285714285714285,True,1.6456885714285718,0.9801961412341456,0.0285714285714285,0.9453014184397163
ENSG00000117983,2.41707523809524,1.2294409310364314e-05,1.2256497454659725,3.760149443735435e-09,0.019047619047619,True,2.41707523809524,1.2256497454659725,0.019047619047619,0.9419326241134751
ENSG00000198758,2.9938619047619035,9.686095035864557e-08,1.044207898982641,3.029716041246893e-12,0.019047619047619,True,2.9938619047619035,1.044207898982641,0.019047619047619,0.938386524822695
ENSG00000115414,1.728475238095239,6.645920610221698e-07,1.2416246879539052,2.0256674848995503e-16,0.019047619047619,True,1.728475238095239,1.2416246879539052,0.019047619047619,0.9321808510638296
ENSG00000215182,3.9745971428571383,0.0020232963073441,0.8816745410102307,5.475745196701596e-05,0.019047619047619,True,3.9745971428571383,0.8816745410102307,0.019047619047619,0.9309397163120567
